0023-20E3,hash,1: :hash:
0030-20E3,zero,2: :zero:
0031-20E3,one,3: :one:
0032-20E3,two,4: :two:
0033-20E3,three,5: :three:
0034-20E3,four,6: :four:
0035-20E3,five,7: :five:
0036-20E3,six,8: :six:
0037-20E3,seven,9: :seven:
0038-20E3,eight,10: :eight:
0039-20E3,nine,11: :nine:
00A9,copyright,12: :copyright:
00AE,registered,13: :registered:
1F004,mahjong,14: :mahjong:
1F0CF,black_joker,15: :black_joker:
1F170,a,16: :a:
1F171,b,17: :b:
1F17E,o2,18: :o2:
1F17F,parking,19: :parking:
1F18E,ab,20: :ab:
1F191,cl,21: :cl:
1F192,cool,22: :cool:
1F193,free,23: :free:
1F194,id,24: :id:
1F195,new,25: :new:
1F196,ng,26: :ng:
1F197,ok,27: :ok:
1F198,sos,28: :sos:
1F199,up,29: :up:
1F19A,vs,30: :vs:
1F1E8-1F1F3,cn/flag-cn,31: :cn/flag-cn:
1F1E9-1F1EA,de/flag-de,32: :de/flag-de:
1F1EA-1F1F8,es/flag-es,33: :es/flag-es:
1F1EB-1F1F7,fr/flag-fr,34: :fr/flag-fr:
1F1EC-1F1E7,gb/uk/flag-gb,35: :gb/uk/flag-gb:
1F1EE-1F1F9,it/flag-it,36: :it/flag-it:
1F1EF-1F1F5,jp/flag-jp,37: :jp/flag-jp:
1F1F0-1F1F7,kr/flag-kr,38: :kr/flag-kr:
1F1F7-1F1FA,ru/flag-ru,39: :ru/flag-ru:
1F1FA-1F1F8,us/flag-us,40: :us/flag-us:
1F201,koko,41: :koko:
1F202,sa,42: :sa:
1F21A,u7121,43: :u7121:
1F22F,u6307,44: :u6307:
1F232,u7981,45: :u7981:
1F233,u7a7a,46: :u7a7a:
1F234,u5408,47: :u5408:
1F235,u6e80,48: :u6e80:
1F236,u6709,49: :u6709:
1F237,u6708,50: :u6708:
1F238,u7533,51: :u7533:
1F239,u5272,52: :u5272:
1F23A,u55b6,53: :u55b6:
