unicode,output,name,alpha_code,aliases,10,7,1: alpha_code | aliases,1: alpha_code,1: aliases
0023-20e3,0023-fe0f-20e3,keycap: #,:hash:,,6,0,2: :hash: | ,2: :hash:,2: 
0030-20e3,0030-fe0f-20e3,keycap: 0,:zero:,,6,0,3: :zero: | ,3: :zero:,3: 
0031-20e3,0031-fe0f-20e3,keycap: 1,:one:,,5,0,4: :one: | ,4: :one:,4: 
0032-20e3,0032-fe0f-20e3,keycap: 2,:two:,,5,0,5: :two: | ,5: :two:,5: 
0033-20e3,0033-fe0f-20e3,keycap: 3,:three:,,7,0,6: :three: | ,6: :three:,6: 
0034-20e3,0034-fe0f-20e3,keycap: 4,:four:,,6,0,7: :four: | ,7: :four:,7: 
0035-20e3,0035-fe0f-20e3,keycap: 5,:five:,,6,0,8: :five: | ,8: :five:,8: 
0036-20e3,0036-fe0f-20e3,keycap: 6,:six:,,5,0,9: :six: | ,9: :six:,9: 
0037-20e3,0037-fe0f-20e3,keycap: 7,:seven:,,7,0,10: :seven: | ,10: :seven:,10: 
0038-20e3,0038-fe0f-20e3,keycap: 8,:eight:,,7,0,11: :eight: | ,11: :eight:,11: 
0039-20e3,0039-fe0f-20e3,keycap: 9,:nine:,,6,0,12: :nine: | ,12: :nine:,12: 
00a9,00a9-fe0f,copyright,:copyright:,,11,0,13: :copyright: | ,13: :copyright:,13: 
00ae,00ae-fe0f,registered,:registered:,,12,0,14: :registered: | ,14: :registered:,14: 
203c,203c-fe0f,double exclamation mark,:bangbang:,,10,0,15: :bangbang: | ,15: :bangbang:,15: 
2049,2049-fe0f,exclamation question mark,:interrobang:,,13,0,16: :interrobang: | ,16: :interrobang:,16: 
2122,2122-fe0f,trade mark,:tm:,,4,0,17: :tm: | ,17: :tm:,17: 
2139,2139-fe0f,information,:information_source:,,20,0,18: :information_source: | ,18: :information_source:,18: 
2194,2194-fe0f,left-right arrow,:left_right_arrow:,,18,0,19: :left_right_arrow: | ,19: :left_right_arrow:,19: 
2195,2195-fe0f,up-down arrow,:arrow_up_down:,,15,0,20: :arrow_up_down: | ,20: :arrow_up_down:,20: 
2196,2196-fe0f,up-left arrow,:arrow_upper_left:,,18,0,21: :arrow_upper_left: | ,21: :arrow_upper_left:,21: 
1f949,1f949,3rd place medal,:third_place:,:third_place_medal:,13,19,22: :third_place: | :third_place_medal:,22: :third_place:,22: :third_place_medal:
2197,2197-fe0f,up-right arrow,:arrow_upper_right:,,19,0,23: :arrow_upper_right: | ,23: :arrow_upper_right:,23: 
2198,2198-fe0f,down-right arrow,:arrow_lower_right:,,19,0,24: :arrow_lower_right: | ,24: :arrow_lower_right:,24: 
2199,2199-fe0f,down-left arrow,:arrow_lower_left:,,18,0,25: :arrow_lower_left: | ,25: :arrow_lower_left:,25: 
1f948,1f948,2nd place medal,:second_place:,:second_place_medal:,14,20,26: :second_place: | :second_place_medal:,26: :second_place:,26: :second_place_medal:
21a9,21a9-fe0f,right arrow curving left,:leftwards_arrow_with_hook:,,27,0,27: :leftwards_arrow_with_hook: | ,27: :leftwards_arrow_with_hook:,27: 
21aa,21aa-fe0f,left arrow curving right,:arrow_right_hook:,,18,0,28: :arrow_right_hook: | ,28: :arrow_right_hook:,28: 
