emoji,description,aliases/0,aliases/1,aliases/2,1: :aliases/0: | :aliases/1: | :aliases/2:,tags/0,tags/1,tags/2,tags/3,emoticons/0,emoticons/1,emoticons/2,emoticons/3,emoticons/4,emoticons/5,emoticons/6,emoticons/7,emoticons/8,emoticons/9,emoticons/10,emoticons/11,emoticons/12,emoticons/13,emoticons/14,emoticons/15,emoticons/16,emoticons/17,emoticons/18,emoticons/19,emoticons/20,emoticons/21,emoticons/22,emoticons/23,emoticons/24,emoticons/25,emoticons/26,emoticons/27,emoticons/28,emoticons/29,emoticons/30,emoticons/31,emoticons/32,emoticons/33,emoticons/34,emoticons/35
😄,smiling face with open mouth and smiling eyes,smile,,,2: :smile: | :: | ::,happy,joy,pleased,,:D,:-D,=D,=-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😃,smiling face with open mouth,smiley,,,3: :smiley: | :: | ::,happy,joy,haha,,:),:],:-),:-],=),=],=-),=-],,,,,,,,,,,,,,,,,,,,,,,,,,,,
😀,grinning face,grinning,,,4: :grinning: | :: | ::,smile,happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😊,smiling face with smiling eyes,blush,,,5: :blush: | :: | ::,proud,,,,":"")",":""]",":""D",":-"")",":-""]",":-""D","="")","=""]","=""D","=-"")","=-""]","=-""D",,,,,,,,,,,,,,,,,,,,,,,,
☺️,white smiling face,relaxed,,,6: :relaxed: | :: | ::,blush,pleased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😉,winking face,wink,,,7: :wink: | :: | ::,flirt,,,,;),;],;D,;-),;-],;-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😍,smiling face with heart-shaped eyes,heart_eyes,,,8: :heart_eyes: | :: | ::,love,crush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😘,face throwing a kiss,kissing_heart,,,9: :kissing_heart: | :: | ::,flirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😚,kissing face with closed eyes,kissing_closed_eyes,,,10: :kissing_closed_eyes: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
