:hash:,:grinning:,:smile:,:cyclone:,:hash:,:hmm:,:hash:
:zero:,:grimacing:,:smiley:,:rainbow:,:zero:,:like:,:zero:
:one:,:grin:,:grinning:,:milky_way:,:one:,:dislike:,:one:
:two:,:joy:,:blush:,:new_moon:,:two:,,:two:
:three:,:rofl:,:relaxed:,:first_quarter_moon:,:three:,,:three:
:four:,:smiley:,:wink:,:waxing_gibbous_moon:,:four:,,:four:
:five:,:smile:,:heart_eyes:,:full_moon:,:five:,,:five:
:six:,:sweat_smile:,:kissing_heart:,:last_quarter_moon:,:six:,,:six:
:seven:,:laughing:,:kissing_closed_eyes:,:crescent_moon:,:seven:,,:seven:
:eight:,:innocent:,:kissing:,:cactus:,:eight:,,:eight:
:nine:,:wink:,:kissing_smiling_eyes:,:tangerine:,:nine:,,:nine:
:copyright:,:blush:,:stuck_out_tongue_winking_eye:,:hamburger:,:copyright:,,:copyright:
:registered:,:slightly_smiling_face:,:stuck_out_tongue_closed_eyes:,:pizza:,:registered:,,:registered:
:bangbang:,:upside_down_face:,:stuck_out_tongue:,:rice_ball:,:mahjong:,,:bangbang:
:interrobang:,:relaxed:,:flushed:,:cake:,:black_joker:,,:interrobang:
:tm:,:yum:,:grin:,:tropical_drink:,:a:,,:tm:
:information_source:,:relieved:,:pensive:,:jack_o_lantern:,:b:,,:information_source:
:left_right_arrow:,:heart_eyes:,:relieved:,:microphone:,:o2:,,:left_right_arrow:
:arrow_up_down:,:kissing_heart:,:unamused:,:video_game:,:parking:,,:arrow_up_down:
:arrow_upper_left:,:kissing:,:disappointed:,:guitar:,:ab:,,:arrow_upper_left:
:third_place:,:kissing_smiling_eyes:,:persevere:,:snowboarder:,:cl:,,:third_place:
:arrow_upper_right:,:kissing_closed_eyes:,:cry:,:love_hotel:,:cool:,,:arrow_upper_right:
:arrow_lower_right:,:stuck_out_tongue_winking_eye:,:joy:,:snail:,:free:,,:arrow_lower_right:
:arrow_lower_left:,:stuck_out_tongue_closed_eyes:,:sob:,:snake:,:id:,,:arrow_lower_left:
:second_place:,:stuck_out_tongue:,:sleepy:,:chicken:,:new:,,:second_place:
:leftwards_arrow_with_hook:,:money_mouth_face:,:disappointed_relieved:,:boar:,:ng:,,:leftwards_arrow_with_hook:
:arrow_right_hook:,:nerd_face:,:cold_sweat:,:elephant:,:ok:,,:arrow_right_hook:
:watch:,:sunglasses:,:sweat_smile:,:octopus:,:sos:,,:watch:
:hourglass:,:clown_face:,:sweat:,:blowfish:,:up:,,:hourglass:
:fast_forward:,:smirk:,:weary:,:hatching_chick:,:vs:,,:fast_forward:
:rewind:,:no_mouth:,:tired_face:,:penguin:,:koko:,,:rewind:
:arrow_double_up:,:neutral_face:,:fearful:,:koala:,:sa:,,:arrow_double_up:
:arrow_double_down:,:expressionless:,:scream:,:horse:,:u7121:,,:arrow_double_down:
:alarm_clock:,:unamused:,:angry:,:paw_prints:,:u6307:,,:alarm_clock:
:hourglass_flowing_sand:,:thinking:,:rage:,:family:,:u7981:,,:hourglass_flowing_sand:
:m:,:lying_face:,:triumph:,:two_men_holding_hands:,:u7a7a:,,:m:
:black_small_square:,:flushed:,:confounded:,:two_women_holding_hands:,:u5408:,,:black_small_square:
:white_small_square:,:disappointed:,:laughing:,:princess:,:u6e80:,,:white_small_square:
:arrow_forward:,:worried:,:yum:,:ghost:,:u6709:,,:arrow_forward:
:arrow_backward:,:angry:,:mask:,:skull:,:u6708:,,:arrow_backward:
:white_medium_square:,:rage:,:sunglasses:,:dancer:,:u7533:,,:white_medium_square:
:black_medium_square:,:pensive:,:sleeping:,:pill:,:u5272:,,:black_medium_square:
:white_medium_small_square:,:confused:,:dizzy_face:,:couple_with_heart:,:u55b6:,,:white_medium_small_square:
:black_medium_small_square:,:slightly_frowning_face:,:astonished:,:heartbeat:,:ideograph_advantage:,,:black_medium_small_square:
:sunny:,:persevere:,:worried:,:poop:,:accept:,,:sunny:
:cloud:,:confounded:,:frowning:,:speech_balloon:,:cyclone:,,:cloud:
:telephone:,:tired_face:,:anguished:,:mount_fuji:,:foggy:,,:telephone:
:ballot_box_with_check:,:weary:,:smiling_imp:,:grinning:,:closed_umbrella:,,:ballot_box_with_check:
:umbrella:,:triumph:,:imp:,:grin:,:night_with_stars:,,:umbrella:
:coffee:,:open_mouth:,:open_mouth:,:smiley:,:sunrise_over_mountains:,,:coffee:
:point_up:,:scream:,:grimacing:,:smile:,:sunrise:,,:point_up:
:relaxed:,:fearful:,:neutral_face:,:sweat_smile:,:city_sunset:,,:relaxed:
:aries:,:cold_sweat:,:confused:,:laughing:,:city_sunrise:,,:aries:
:first_place:,:hushed:,:hushed:,:wink:,:rainbow:,,:first_place:
:taurus:,:frowning:,:no_mouth:,:blush:,:bridge_at_night:,,:taurus:
:person_fencing:,:anguished:,:innocent:,:relieved:,:ocean:,,:person_fencing:
:gemini:,:cry:,:smirk:,:heart_eyes:,:volcano:,,:gemini:
:cancer:,:disappointed_relieved:,:expressionless:,:smirk:,:milky_way:,,:cancer:
:goal:,:drooling_face:,:man_with_gua_pi_mao:,:expressionless:,:earth_africa:,,:goal:
:leo:,:sleepy:,:man_with_turban:,:unamused:,:earth_americas:,,:leo:
:virgo:,:sweat:,:cop:,:sweat:,:earth_asia:,,:virgo:
:person_playing_handball:,:sob:,:construction_worker:,:confused:,:globe_with_meridians:,,:person_playing_handball:
:libra:,:dizzy_face:,:guardsman:,:kissing:,:new_moon:,,:libra:
:person_playing_water_polo:,:astonished:,:baby:,:kissing_heart:,:waxing_crescent_moon:,,:person_playing_water_polo:
:scorpius:,:zipper_mouth_face:,:boy:,:kissing_smiling_eyes:,:first_quarter_moon:,,:scorpius:
:sagittarius:,:nauseated_face:,:girl:,:kissing_closed_eyes:,:full_moon:,,:sagittarius:
:martial_arts_uniform:,:sneezing_face:,:man:,:stuck_out_tongue:,:waning_gibbous_moon:,,:martial_arts_uniform:
:capricorn:,:mask:,:woman:,:stuck_out_tongue_winking_eye:,:last_quarter_moon:,,:capricorn:
:boxing_glove:,:face_with_thermometer:,:older_man:,:stuck_out_tongue_closed_eyes:,:waning_crescent_moon:,,:boxing_glove:
:aquarius:,:face_with_head_bandage:,:older_woman:,:worried:,:crescent_moon:,,:aquarius:
:people_wrestling:,:sleeping:,:person_with_blond_hair:,:frowning:,:new_moon_with_face:,,:people_wrestling:
:pisces:,:zzz:,:angel:,:anguished:,:first_quarter_moon_with_face:,,:pisces:
:spades:,:poop:,:princess:,:grimacing:,:last_quarter_moon_with_face:,,:spades:
:clubs:,:smiling_imp:,:smiley_cat:,:open_mouth:,:full_moon_with_face:,,:clubs:
:hearts:,:imp:,:smile_cat:,:hushed:,:sun_with_face:,,:hearts:
:diamonds:,:japanese_ogre:,:heart_eyes_cat:,:flushed:,:star2:,,:diamonds:
:hotsprings:,:japanese_goblin:,:kissing_cat:,:sleeping:,:stars:,,:hotsprings:
:recycle:,:skull:,:smirk_cat:,:dizzy_face:,:chestnut:,,:recycle:
:person_juggling:,:ghost:,:scream_cat:,:crying_cat_face:,:seedling:,,:person_juggling:
:wheelchair:,:alien:,:crying_cat_face:,:person_frowning:,:evergreen_tree:,,:wheelchair:
:anchor:,:robot:,:joy_cat:,:person_with_pouting_face:,:deciduous_tree:,,:anchor:
:warning:,:smiley_cat:,:pouting_cat:,:ship:,:palm_tree:,,:warning:
